transaction_id,customer_id,card_id,merchant_id,transaction_date,amount,currency,installments,transaction_status,transaction_type
TXN00000021,CUST00093,CARD000099,MERC00046,2026-04-17 18:24:10,375666,CLP,3,approved,withdrawal
TXN00000022,CUST00338,CARD000345,MERC00058,2026-04-05 11:35:45,88104,CLP,1,approved,purchase
TXN00000023,CUST00237,CARD000237,MERC00144,2026-05-01 18:01:39,36726,CLP,1,APPROVED,withdrawal
TXN00000024,CUST00195,CARD000195,MERC00173,2026-05-16 10:59:53,26829,CLP,1,approved,purchase
TXN00000025,CUST00064,CARD000068,MERC00061,2026-05-15 16:50:02,21128,CLP,1,approved,purchase
TXN00000026,CUST00049,CARD000050,MERC00084,2026-04-30 14:06:13,8387,CLP,1,approved,purchase
TXN00000027,CUST00431,CARD000439,MERC00110,2026-04-06 22:54:20,86221,CLP,3,APPROVED,purchase
TXN00000028,CUST00030,CARD000029,MERC00198,2026-03-17 10:02:49,336957,CLP,3,approved,purchase
TXN00000029,CUST00216,CARD000215,MERC00122,2026-04-06 09:38:46,825627,CLP,6,approved,purchase
TXN00000030,CUST00482,CARD000495,MERC00143,2026-03-31 19:25:10,155308,CLP,1,approved,purchase
TXN00000031,CUST00080,CARD000084,MERC00107,2026-04-26 22:34:28,19765,CLP,6,rejected,purchase
TXN00000032,CUST00167,CARD000170,MERC00172,2026-04-22 16:34:40,73932,CLP,3,approved,refund
TXN00000033,CUST00206,CARD000206,MERC00078,2026-05-29 11:05:51,512741,CLP,3,approved,purchase
TXN00000034,CUST00407,CARD000418,MERC00096,2026-05-08 15:37:41,12388,CLP,3,approved,purchase
TXN00000035,CUST00140,CARD000142,MERC00002,2026-03-24 18:21:30,9247,CLP,3,rejected,purchase
TXN00000036,CUST00024,CARD000023,MERC00134,2026-05-20 20:24:37,762532,CLP,1,approved,purchase
TXN00000037,CUST00364,CARD000372,MERC00164,2026-06-14 22:46:18,703852,CLP,12,approved,purchase
TXN00000038,CUST00378,CARD000387,MERC00095,2026-05-06 17:13:04,31668,CLP,3,APPROVED,purchase
TXN00000039,CUST00315,CARD000319,MERC00052,2026-04-11 12:56:53,27890,CLP,3,approved,purchase
TXN00000040,CUST00378,CARD000388,MERC00134,2026-03-15 15:26:16,22042,CLP,1,approved,purchase
TXN00000041,CUST00295,CARD000294,MERC00133,2026-04-04 10:42:29,174899,CLP,1,approved,purchase
TXN00000042,CUST00100,CARD000106,MERC00069,2026-04-07 23:08:24,155849,CLP,1,APPROVED,purchase
TXN00000043,CUST00089,CARD000094,MERC00190,2026-05-27 22:24:57,329365,CLP,1,approved,purchase
TXN00000044,CUST00386,CARD000398,MERC00031,2026-05-24 23:11:04,9400,CLP,1,approved,purchase
TXN00000045,CUST00276,CARD000275,MERC00048,2026-06-10 08:20:11,644412,CLP,3,reversed,purchase
TXN00000046,CUST00098,CARD000104,MERC00188,2026-04-03 21:51:20,20395,CLP,3,rejected,withdrawal
TXN00000047,CUST00386,CARD000398,MERC00168,2026-05-28 19:44:15,427749,CLP,1,approved,purchase
TXN00000048,CUST00461,CARD000471,MERC00126,2026-05-27 22:47:47,171600,CLP,1,approved,purchase
TXN00000049,CUST00296,CARD000296,MERC00065,2026-04-12 23:39:45,6794,CLP,6,approved,purchase
TXN00000050,CUST00429,CARD000437,MERC00018,2026-03-29 13:03:21,812928,CLP,1,approved,purchase
TXN00000051,CUST00148,CARD000150,MERC00084,2026-06-08 12:37:35,152817,CLP,3,approved,purchase
TXN00000052,CUST00310,CARD000314,MERC00102,2026-04-15 09:35:12,209442,CLP,3,approved,purchase
TXN00000053,CUST00098,CARD000104,MERC00133,2026-03-19 22:22:43,99549,CLP,2,pending,purchase
TXN00000054,CUST00124,CARD000126,MERC00016,2026-06-11 09:12:01,879764,CLP,1,approved,purchase
TXN00000055,CUST00166,CARD000169,MERC00029,2026-04-22 22:04:22,9242,CLP,3,rejected,purchase
TXN00000056,CUST00482,CARD000495,MERC00187,2026-04-04 19:42:01,8382,CLP,3,approved,purchase
TXN00000057,CUST00054,CARD000055,MERC00051,2026-04-22 08:36:26,470648,CLP,3,approved,purchase
TXN00000058,CUST00282,CARD000282,MERC00039,2026-03-25 12:07:13,277443,CLP,6,approved,purchase
TXN00000059,CUST00090,CARD000095,MERC00198,2026-03-30 10:07:07,150676,CLP,3,approved,purchase
TXN00000060,CUST00229,CARD000232,MERC00186,2026-05-05 18:42:47,4924,CLP,1,approved,purchase
TXN00000061,CUST00316,CARD000320,MERC00111,2026-05-10 20:21:13,833235,CLP,3,approved,purchase
TXN00000062,CUST00319,CARD000324,MERC00027,2026-03-16 12:48:50,657462,CLP,3,approved,purchase
TXN00000063,CUST00168,CARD000171,MERC00036,2026-04-06 18:55:00,4791,CLP,3,approved,purchase
TXN00000064,CUST00338,CARD000346,MERC00152,2026-06-08 14:44:54,337420,CLP,1,approved,purchase
TXN00000065,CUST00221,CARD000221,MERC00184,2026-04-28 19:08:49,249224,CLP,3,approved,withdrawal
TXN00000066,CUST00409,CARD000419,MERC00109,2026-05-28 19:35:20,17771,CLP,6,approved,purchase
TXN00000067,CUST00320,CARD000326,MERC00191,2026-04-30 12:01:09,14193,CLP,3,approved,purchase
TXN00000068,CUST00289,CARD000289,MERC00016,2026-03-21 13:38:39,559398,CLP,1,approved,purchase
TXN00000069,CUST00036,CARD000037,MERC00033,2026-05-10 17:33:41,52380,CLP,3,approved,purchase
TXN00000070,CUST00061,CARD000064,MERC00074,2026-04-27 09:15:03,346302,CLP,2,approved,purchase
TXN00000071,CUST00070,CARD000075,MERC00109,2026-03-17 17:39:04,125207,CLP,1,approved,purchase
TXN00000072,CUST00224,CARD000224,MERC00123,2026-05-10 11:08:53,121234,CLP,1,approved,purchase
TXN00000073,CUST00470,CARD000482,MERC00132,2026-04-16 11:02:13,16630,CLP,1,approved,purchase
TXN00000074,CUST00019,CARD000019,MERC00042,2026-05-06 21:33:02,90254,CLP,1,approved,purchase
TXN00000075,CUST00322,CARD000328,MERC00185,2026-03-16 11:21:45,55540,CLP,1,approved,purchase
TXN00000076,CUST00036,CARD000037,MERC00183,2026-05-13 15:21:05,4266,CLP,1,approved,purchase
TXN00000077,CUST00031,CARD000030,MERC00181,2026-04-20 14:01:01,169118,CLP,1,approved,purchase
TXN00000078,CUST00333,CARD000340,MERC00153,2026-05-09 16:31:01,737519,CLP,3,approved,purchase
TXN00000079,CUST00119,CARD000122,MERC00156,2026-03-30 20:10:52,19891,CLP,12,approved,purchase
TXN00000080,CUST00470,CARD000482,MERC00135,2026-05-10 15:53:08,144681,CLP,3,approved,purchase
TXN00000081,CUST00413,CARD000422,MERC00085,2026-05-14 08:48:04,38410,CLP,1,approved,purchase
TXN00000082,CUST00464,CARD000474,MERC00006,2026-03-29 16:37:15,147160,CLP,3,approved,purchase
TXN00000083,CUST00322,CARD000328,MERC00182,2026-05-24 10:20:50,841729,CLP,1,approved,purchase
TXN00000084,CUST00098,CARD000104,MERC00102,2026-03-20 23:40:14,219738,CLP,1,approved,purchase
TXN00000085,CUST00379,CARD000389,MERC00143,2026-03-23 17:06:26,151437,CLP,3,approved,purchase
TXN00000086,CUST00229,CARD000232,MERC00064,2026-03-27 15:53:11,86697,CLP,6,approved,purchase
TXN00000087,CUST00447,CARD000456,MERC00075,2026-04-25 11:39:28,401181,CLP,3,approved,purchase
TXN00000088,CUST00469,CARD000481,MERC00055,2026-03-16 22:03:32,99235,CLP,3,APPROVED,purchase
TXN00000089,CUST00277,CARD000277,MERC00169,2026-05-23 08:40:51,29164,CLP,1,rejected,purchase
TXN00000090,CUST00388,CARD000400,MERC00147,2026-06-03 22:57:09,10003,CLP,1,approved,purchase
TXN00000091,CUST00064,CARD000068,MERC00131,2026-03-25 08:52:52,743611,CLP,2,APPROVED,withdrawal
TXN00000092,CUST00489,CARD000503,MERC00092,2026-03-24 15:36:28,134595,CLP,1,approved,purchase
TXN00000093,CUST00305,CARD000307,MERC00108,2026-05-01 23:20:30,15841,CLP,1,approved,purchase
TXN00000094,CUST00390,CARD000403,MERC00196,2026-03-26 10:59:10,77141,CLP,1,approved,purchase
TXN00000095,CUST00306,CARD000309,MERC00119,2026-05-17 20:37:42,353381,CLP,3,approved,purchase
TXN00000096,CUST00488,CARD000502,MERC00023,2026-05-15 21:07:22,23277,CLP,1,approved,purchase
TXN00000097,CUST00255,CARD000255,MERC00177,2026-03-20 15:21:46,17699,CLP,1,approved,purchase
TXN00000098,CUST00227,CARD000229,MERC00012,2026-04-29 21:44:40,789258,CLP,3,approved,purchase
TXN00000099,CUST00168,CARD000171,MERC00069,2026-06-01 22:32:19,13831,CLP,3,pending,purchase
TXN00000100,CUST00086,CARD000092,MERC00092,2026-03-23 15:52:40,340378,CLP,1,approved,purchase
TXN00000101,CUST00244,CARD000245,MERC00057,2026-04-19 16:34:25,19280,CLP,1,approved,purchase
TXN00000102,CUST00317,CARD000322,MERC00123,2026-06-12 12:48:33,17943,CLP,3,approved,purchase
TXN00000103,CUST00267,CARD000267,MERC00055,2026-05-31 11:37:57,20366,CLP,2,approved,purchase
TXN00000104,CUST00444,CARD000453,MERC00053,2026-06-15 21:06:14,873298,CLP,2,approved,purchase
TXN00000105,CUST00127,CARD000129,MERC00083,2026-05-14 11:25:21,136858,CLP,1,approved,withdrawal
TXN00000106,CUST00457,CARD000466,MERC00158,2026-06-12 11:27:20,73404,CLP,3,approved,purchase
TXN00000107,CUST00381,CARD000392,MERC00121,2026-03-19 23:57:58,7832,CLP,3,approved,purchase
TXN00000108,CUST00438,CARD000448,MERC00162,2026-03-23 09:34:34,312935,CLP,1,approved,purchase
TXN00000109,CUST00431,CARD000439,MERC00106,2026-03-15 11:50:14,664153,CLP,1,approved,purchase
TXN00000110,CUST00484,CARD000497,MERC00170,2026-04-25 15:44:37,593683,CLP,1,approved,purchase
TXN00000111,CUST00239,CARD000239,MERC00024,2026-06-12 18:21:37,174061,CLP,6,approved,purchase
TXN00000112,CUST00157,CARD000159,MERC00015,2026-04-24 23:23:15,27831,CLP,2,approved,purchase
TXN00000113,CUST00410,CARD000420,MERC00016,2026-05-02 15:53:38,24266,CLP,1,approved,purchase
TXN00000114,CUST00320,CARD000325,MERC00033,2026-05-25 11:32:37,133516,CLP,1,approved,purchase
TXN00000115,CUST00157,CARD000159,MERC00147,2026-04-25 17:51:08,44630,CLP,1,approved,purchase
TXN00000116,CUST00180,CARD000181,MERC00071,2026-05-21 21:27:31,20517,CLP,1,approved,purchase
TXN00000117,CUST00246,CARD000247,MERC00109,2026-03-21 19:31:48,12211,CLP,1,approved,purchase
TXN00000118,CUST00267,CARD000266,MERC00057,2026-04-27 14:50:32,37650,CLP,3,approved,purchase
TXN00000119,CUST00468,CARD000479,MERC00098,2026-05-31 12:54:40,2446,CLP,3,approved,purchase
TXN00000120,CUST00105,CARD000110,MERC00059,2026-05-07 09:00:44,12526,CLP,1,approved,purchase
TXN00000121,CUST00396,CARD000409,MERC00116,2026-05-08 21:56:30,6751,CLP,1,approved,purchase
TXN00000122,CUST00409,CARD000419,MERC00027,2026-06-07 10:11:17,17030,CLP,3,approved,purchase
TXN00000123,CUST00417,CARD000427,MERC00016,2026-03-27 08:48:57,127651,CLP,1,approved,purchase
TXN00000124,CUST00319,CARD000324,MERC00144,2026-03-16 12:12:55,797411,CLP,12,approved,purchase
TXN00000125,CUST00044,CARD000046,MERC00184,2026-04-06 21:50:16,20434,CLP,6,approved,purchase
TXN00000126,CUST00490,CARD000504,MERC00136,2026-04-05 16:14:47,22425,CLP,3,reversed,purchase
TXN00000127,CUST00445,CARD000454,MERC00137,2026-05-15 09:29:35,89762,CLP,3,approved,purchase
TXN00000128,CUST00212,CARD000212,MERC00178,2026-06-04 15:32:20,457586,CLP,1,approved,purchase
TXN00000129,CUST00152,CARD000153,MERC00095,2026-04-30 17:41:29,27613,CLP,3,approved,purchase
TXN00000130,CUST00206,CARD000206,MERC00115,2026-04-02 17:49:34,7949,CLP,6,approved,purchase
TXN00000131,CUST00360,CARD000368,MERC00171,2026-05-16 17:41:41,52247,CLP,6,approved,purchase
TXN00000132,CUST00398,CARD000411,MERC00044,2026-04-05 10:57:30,17532,CLP,3,approved,purchase
TXN00000133,CUST00216,CARD000215,MERC00011,2026-06-14 16:21:45,1913,CLP,2,approved,purchase
TXN00000134,CUST00374,CARD000383,MERC00069,2026-04-08 15:21:54,2587,CLP,1,approved,purchase
TXN00000135,CUST00138,CARD000139,MERC00113,2026-04-23 23:32:18,845184,CLP,1,approved,purchase
TXN00000136,CUST00308,CARD000311,MERC00093,2026-03-23 16:16:27,29109,CLP,1,approved,purchase
TXN00000137,CUST00033,CARD000033,MERC00181,2026-05-22 11:00:41,559198,CLP,1,approved,purchase
TXN00000138,CUST00402,CARD000415,MERC00129,2026-06-06 16:55:34,432626,CLP,1,approved,purchase
TXN00000139,CUST00433,CARD000442,MERC00196,2026-05-03 09:19:20,178871,CLP,12,approved,purchase
TXN00000140,CUST00289,CARD000289,MERC00097,2026-05-28 15:02:51,24538,CLP,1,approved,purchase
TXN00000141,CUST00050,CARD000051,MERC00167,2026-05-30 15:37:28,19209,CLP,1,reversed,purchase
TXN00000142,CUST00092,CARD000098,MERC00141,2026-05-20 23:01:25,9215,CLP,1,approved,purchase
TXN00000143,CUST00473,CARD000486,MERC00143,2026-04-04 14:10:09,360777,CLP,3,reversed,purchase
TXN00000144,CUST00069,CARD000074,MERC00178,2026-03-20 20:29:27,28245,CLP,1,rejected,purchase
TXN00000145,CUST00228,CARD000230,MERC00174,2026-03-29 23:45:24,712596,CLP,1,rejected,withdrawal
TXN00000146,CUST00069,CARD000074,MERC00186,2026-03-16 15:57:35,19448,CLP,1,approved,purchase
TXN00000147,CUST00176,CARD000177,MERC00071,2026-04-24 21:50:48,22795,CLP,1,approved,purchase
TXN00000148,CUST00449,CARD000458,MERC00174,2026-05-24 11:02:00,66242,CLP,1,rejected,purchase
TXN00000149,CUST00116,CARD000119,MERC00191,2026-03-17 20:28:53,16476,CLP,1,approved,withdrawal
TXN00000150,CUST00042,CARD000044,MERC00024,2026-04-26 10:00:57,42078,CLP,12,approved,purchase
TXN00000151,CUST00379,CARD000389,MERC00058,2026-05-04 17:00:51,270745,CLP,1,rejected,refund
TXN00000152,CUST00270,CARD000269,MERC00159,2026-05-23 23:02:33,598196,CLP,3,reversed,purchase
TXN00000153,CUST00360,CARD000368,MERC00097,2026-03-16 20:10:24,177245,CLP,1,approved,purchase
TXN00000154,CUST00355,CARD000363,MERC00163,2026-05-12 11:30:33,27219,CLP,1,approved,purchase
TXN00000155,CUST00400,CARD000413,MERC00047,2026-06-07 19:29:54,22499,CLP,1,approved,purchase
TXN00000156,CUST00043,CARD000045,MERC00034,2026-05-26 21:56:44,204509,CLP,1,approved,withdrawal
TXN00000157,CUST00448,CARD000457,MERC00021,2026-04-29 08:48:57,785355,CLP,3,approved,purchase
TXN00000158,CUST00336,CARD000343,MERC00118,2026-05-01 23:29:18,49094,CLP,1,approved,withdrawal
TXN00000159,CUST00415,CARD000425,MERC00139,2026-03-26 12:17:05,66167,CLP,1,approved,purchase
TXN00000160,CUST00357,CARD000365,MERC00123,2026-06-14 18:32:37,135594,CLP,1,approved,purchase
TXN00000161,CUST00042,CARD000044,MERC00175,2026-05-11 17:23:31,99293,CLP,6,approved,purchase
TXN00000162,CUST00481,CARD000494,MERC00094,2026-03-20 23:53:00,11951,CLP,1,approved,purchase
TXN00000163,CUST00417,CARD000427,MERC00105,2026-05-27 16:03:29,246447,CLP,1,reversed,purchase
TXN00000164,CUST00097,CARD000103,MERC00157,2026-04-11 18:56:46,65654,CLP,12,approved,withdrawal
TXN00000165,CUST00460,CARD000470,MERC00047,2026-04-19 13:44:16,45312,CLP,1,pending,purchase
TXN00000166,CUST00422,CARD000431,MERC00198,2026-05-11 19:00:30,53616,CLP,1,pending,purchase
TXN00000167,CUST00038,CARD000039,MERC00148,2026-03-22 19:00:39,769780,CLP,3,pending,purchase
TXN00000168,CUST00102,CARD000107,MERC00012,2026-05-13 19:14:52,27952,CLP,1,approved,purchase
TXN00000169,CUST00493,CARD000509,MERC00152,2026-05-10 18:43:00,3244,CLP,1,approved,purchase
TXN00000170,CUST00003,CARD000003,MERC00076,2026-05-15 15:51:41,708671,CLP,3,approved,purchase
TXN00000171,CUST00082,CARD000086,MERC00089,2026-05-26 12:38:16,613276,CLP,1,approved,purchase
TXN00000172,CUST00166,CARD000169,MERC00037,2026-05-14 23:12:51,613501,CLP,1,approved,purchase
TXN00000173,CUST00187,CARD000188,MERC00144,2026-05-22 20:14:43,4208,CLP,1,approved,purchase
TXN00000174,CUST00104,CARD000109,MERC00062,2026-03-23 18:55:58,403698,CLP,1,approved,purchase
TXN00000175,CUST00086,CARD000092,MERC00115,2026-05-07 14:37:35,45853,CLP,12,approved,purchase
TXN00000176,CUST00132,CARD000133,MERC00059,2026-06-14 20:58:51,748267,CLP,1,approved,purchase
TXN00000177,CUST00370,CARD000379,MERC00071,2026-04-22 09:25:23,14800,CLP,1,approved,purchase
TXN00000178,CUST00271,CARD000270,MERC00187,2026-06-02 08:38:02,122389,CLP,6,approved,purchase
TXN00000179,CUST00320,CARD000326,MERC00171,2026-04-26 11:56:14,26589,CLP,1,approved,purchase
TXN00000180,CUST00057,CARD000059,MERC00085,2026-03-25 17:45:28,151293,CLP,1,APPROVED,purchase
TXN00000181,CUST00400,CARD000413,MERC00060,2026-05-03 18:52:58,356360,CLP,1,approved,purchase
TXN00000182,CUST00161,CARD000163,MERC00145,2026-06-12 19:55:03,4224,CLP,3,approved,purchase
TXN00000183,CUST00008,CARD000008,MERC00047,2026-04-04 19:51:41,29678,CLP,1,approved,purchase
TXN00000184,CUST00402,CARD000415,MERC00012,2026-06-10 23:06:48,641535,CLP,3,approved,purchase
TXN00000185,CUST00267,CARD000266,MERC00152,2026-06-13 19:41:01,666220,CLP,1,pending,purchase
TXN00000186,CUST00140,CARD000142,MERC00056,2026-06-08 17:49:46,26108,CLP,12,approved,purchase
TXN00000187,CUST00009,CARD000009,MERC00110,2026-04-10 09:32:39,61068,CLP,1,pending,purchase
TXN00000188,CUST00412,CARD000421,MERC00168,2026-04-20 18:56:39,48876,CLP,2,reversed,withdrawal
TXN00000189,CUST00361,CARD000369,MERC00012,2026-04-06 19:24:04,19373,CLP,6,approved,purchase
TXN00000190,CUST00024,CARD000023,MERC00141,2026-03-22 09:04:34,777053,CLP,1,approved,purchase
TXN00000191,CUST00235,CARD000235,MERC00129,2026-06-14 16:44:43,15892,CLP,3,rejected,refund
TXN00000192,CUST00072,CARD000077,MERC00058,2026-06-14 08:00:25,80815,CLP,1,approved,refund
TXN00000193,CUST00296,CARD000295,MERC00003,2026-05-12 10:31:13,71202,CLP,1,approved,purchase
TXN00000194,CUST00228,CARD000230,MERC00150,2026-04-24 09:40:11,9859,CLP,1,approved,purchase
TXN00000195,CUST00388,CARD000400,MERC00189,2026-05-27 09:36:02,24518,CLP,1,rejected,purchase
TXN00000196,CUST00378,CARD000387,MERC00106,2026-05-07 16:15:00,28990,CLP,1,approved,purchase
TXN00000197,CUST00086,CARD000092,MERC00073,2026-03-29 18:59:58,130670,CLP,1,approved,withdrawal
TXN00000198,CUST00275,CARD000274,MERC00023,2026-04-26 13:37:47,763515,CLP,1,rejected,purchase
TXN00000199,CUST00346,CARD000354,MERC00046,2026-05-08 08:56:44,11713,CLP,1,rejected,purchase
TXN00000200,CUST00082,CARD000086,MERC00007,2026-05-12 12:00:58,13625,CLP,1,approved,purchase
TXN00000201,CUST00267,CARD000267,MERC00111,2026-03-29 13:06:41,4476,CLP,3,approved,purchase
TXN00000202,CUST00464,CARD000474,MERC00147,2026-05-31 23:46:00,74804,CLP,6,approved,purchase
TXN00000203,CUST00402,CARD000415,MERC00096,2026-04-30 18:35:35,20031,CLP,3,approved,purchase
TXN00000204,CUST00046,CARD000047,MERC00098,2026-05-29 09:45:03,666277,CLP,12,approved,purchase
TXN00000205,CUST00439,CARD000450,MERC00097,2026-04-27 12:32:58,740965,CLP,2,approved,purchase
TXN00000206,CUST00340,CARD000348,MERC00025,2026-05-15 12:10:46,163448,CLP,6,approved,purchase
TXN00000207,CUST00443,CARD000452,MERC00161,2026-05-15 15:08:42,6825,CLP,1,approved,purchase
TXN00000208,CUST00089,CARD000094,MERC00034,2026-03-22 11:04:26,53247,CLP,1,approved,purchase
TXN00000209,CUST00218,CARD000218,MERC00010,2026-05-27 14:03:17,190703,CLP,1,approved,purchase
TXN00000210,CUST00418,CARD000429,MERC00033,2026-06-12 11:15:23,6391,CLP,3,approved,purchase
TXN00000211,CUST00422,CARD000431,MERC00102,2026-04-08 14:00:43,2857,CLP,1,rejected,purchase
TXN00000212,CUST00478,CARD000490,MERC00157,2026-03-22 15:08:49,90505,CLP,1,approved,purchase
TXN00000213,CUST00041,CARD000042,MERC00191,2026-06-10 10:30:19,2250,CLP,1,rejected,purchase
TXN00000214,CUST00227,CARD000229,MERC00008,2026-05-31 16:15:53,790313,CLP,6,approved,withdrawal
TXN00000215,CUST00435,CARD000445,MERC00052,2026-05-23 11:26:31,250129,CLP,1,approved,purchase
TXN00000216,CUST00010,CARD000010,MERC00101,2026-05-18 22:48:56,605577,CLP,3,APPROVED,purchase
TXN00000217,CUST00027,CARD000026,MERC00016,2026-05-03 17:37:18,9163,CLP,1,approved,purchase
TXN00000218,CUST00456,CARD000465,MERC00198,2026-04-16 14:45:14,39483,CLP,1,approved,purchase
TXN00000219,CUST00334,CARD000341,MERC00044,2026-05-07 20:08:27,496985,CLP,2,approved,purchase
TXN00000220,CUST00482,CARD000495,MERC00190,2026-03-30 18:41:35,107468,CLP,1,approved,purchase
TXN00000221,CUST00410,CARD000420,MERC00011,2026-04-25 23:38:43,286338,CLP,1,approved,purchase
TXN00000222,CUST00362,CARD000370,MERC00022,2026-03-27 20:16:14,334684,CLP,1,approved,purchase
TXN00000223,CUST00117,CARD000120,MERC00048,2026-05-25 19:42:03,320486,CLP,6,APPROVED,withdrawal
TXN00000224,CUST00220,CARD000220,MERC00177,2026-05-22 15:04:05,88959,CLP,6,pending,purchase
TXN00000225,CUST00415,CARD000425,MERC00120,2026-04-30 20:58:44,168674,CLP,1,APPROVED,purchase
TXN00000226,CUST00332,CARD000339,MERC00069,2026-06-09 18:12:23,160909,CLP,1,approved,purchase
TXN00000227,CUST00144,CARD000146,MERC00129,2026-05-09 20:51:04,177932,CLP,1,pending,purchase
TXN00000228,CUST00256,CARD000257,MERC00003,2026-04-10 18:59:53,10686,CLP,1,approved,purchase
TXN00000229,CUST00362,CARD000370,MERC00096,2026-04-23 20:25:19,18147,CLP,3,approved,purchase
TXN00000230,CUST00487,CARD000500,MERC00095,2026-05-11 11:17:11,7454,CLP,1,APPROVED,purchase
TXN00000231,CUST00234,CARD000234,MERC00064,2026-03-30 13:26:52,235196,CLP,6,approved,purchase
TXN00000232,CUST00065,CARD000070,MERC00057,2026-04-22 22:14:06,26952,CLP,3,approved,purchase
TXN00000233,CUST00399,CARD000412,MERC00092,2026-03-17 13:09:59,856978,CLP,3,approved,purchase
TXN00000234,CUST00068,CARD000073,MERC00054,2026-03-25 19:52:42,13570,CLP,6,approved,purchase
TXN00000235,CUST00167,CARD000170,MERC00128,2026-04-06 09:07:31,162510,CLP,1,approved,purchase
TXN00000236,CUST00111,CARD000115,MERC00057,2026-06-05 22:29:28,36636,CLP,3,rejected,purchase
TXN00000237,CUST00076,CARD000081,MERC00072,2026-05-27 09:41:52,134937,CLP,1,approved,purchase
TXN00000238,CUST00030,CARD000029,MERC00095,2026-06-03 18:41:33,123614,CLP,6,approved,withdrawal
TXN00000239,CUST00387,CARD000399,MERC00080,2026-03-20 13:20:29,36636,CLP,3,approved,purchase
TXN00000240,CUST00389,CARD000401,MERC00032,2026-04-08 14:48:25,207755,CLP,1,APPROVED,purchase
TXN00000241,CUST00316,CARD000320,MERC00160,2026-06-03 19:22:45,24245,CLP,6,approved,purchase
TXN00000242,CUST00088,CARD000093,MERC00162,2026-05-20 23:50:15,364560,CLP,1,approved,purchase
TXN00000243,CUST00209,CARD000209,MERC00061,2026-03-31 12:10:09,127918,CLP,3,rejected,purchase
TXN00000244,CUST00376,CARD000385,MERC00045,2026-06-11 08:18:23,417858,CLP,2,rejected,purchase
TXN00000245,CUST00490,CARD000504,MERC00090,2026-05-14 09:30:25,24148,CLP,1,approved,purchase
TXN00000246,CUST00051,CARD000052,MERC00031,2026-03-21 13:53:54,227774,CLP,1,approved,purchase
TXN00000247,CUST00117,CARD000120,MERC00142,2026-05-02 15:57:35,55865,CLP,1,approved,purchase
TXN00000248,CUST00398,CARD000411,MERC00182,2026-05-25 16:34:55,77942,CLP,3,rejected,purchase
TXN00000249,CUST00155,CARD000157,MERC00056,2026-05-05 12:09:10,82508,CLP,3,approved,purchase
TXN00000250,CUST00418,CARD000428,MERC00172,2026-05-19 12:45:52,57821,CLP,1,approved,purchase
TXN00000251,CUST00389,CARD000402,MERC00159,2026-06-10 18:13:23,367315,CLP,6,approved,purchase
TXN00000252,CUST00385,CARD000397,MERC00166,2026-03-21 11:34:03,846298,CLP,1,approved,purchase
TXN00000253,CUST00163,CARD000166,MERC00059,2026-05-04 17:49:07,23902,CLP,3,approved,purchase
TXN00000254,CUST00384,CARD000396,MERC00170,2026-05-25 09:32:50,194210,CLP,1,approved,purchase
TXN00000255,CUST00172,CARD000175,MERC00188,2026-06-07 16:50:30,778643,CLP,1,approved,purchase
