transaction_id,customer_id,card_id,merchant_id,transaction_date,amount,currency,installments,transaction_status,transaction_type,customer_risk_segment,merchant_category
TXN00001932,CUST00064,CARD000068,MERC00037,2026-04-06 19:02:54,3468.0,CLP,1,approved,purchase,medium,fashion
TXN00001935,CUST00295,CARD000294,MERC00133,2026-04-05 18:47:38,9583.0,CLP,3,approved,purchase,low,health
TXN00001957,CUST00116,CARD000119,MERC00009,2026-03-26 15:59:26,760203.0,CLP,1,approved,purchase,unclassified,electronics
TXN00001972,CUST00082,CARD000087,MERC00171,2026-06-05 10:29:30,314401.0,CLP,3,approved,purchase,low,education
TXN00002025,CUST00406,CARD000417,MERC00047,2026-05-26 20:48:24,844418.0,CLP,3,approved,purchase,high,supermarket
TXN00002034,CUST00472,CARD000485,MERC00060,2026-05-20 19:04:20,13470.0,CLP,1,approved,purchase,low,travel
TXN00002037,CUST00256,CARD000256,MERC00139,2026-03-21 12:15:19,108432.0,CLP,1,approved,purchase,medium,food_delivery
TXN00002038,CUST00367,CARD000375,MERC00087,2026-04-30 23:54:33,103111.0,CLP,1,approved,purchase,medium,pharmacy
TXN00002042,CUST00444,CARD000453,MERC00032,2026-05-10 12:11:46,613280.0,CLP,1,approved,purchase,medium,health
TXN00002058,CUST00372,CARD000381,MERC00161,2026-06-02 23:34:34,129545.0,CLP,1,approved,purchase,low,services
TXN00002074,CUST00490,CARD000505,MERC00130,2026-06-14 16:58:33,390144.0,CLP,1,approved,purchase,low,electronics
TXN00002081,CUST00234,CARD000234,MERC00092,2026-04-18 15:38:23,421211.0,CLP,1,approved,purchase,unclassified,supermarket
TXN00002096,CUST00085,CARD000091,MERC00197,2026-04-14 23:10:37,233389.0,CLP,1,approved,purchase,medium,home
TXN00002104,CUST00271,CARD000270,MERC00106,2026-05-27 17:11:44,152870.0,CLP,1,approved,purchase,medium,supermarket
TXN00002115,CUST00220,CARD000220,MERC00075,2026-04-04 10:08:49,217872.0,CLP,1,approved,purchase,medium,electronics
TXN00002152,CUST00459,CARD000468,MERC00198,2026-03-17 15:23:42,104805.0,CLP,6,approved,purchase,unclassified,marketplace
TXN00002173,CUST00388,CARD000400,MERC00069,2026-05-17 21:47:43,414878.0,CLP,1,approved,purchase,medium,services
TXN00002177,CUST00067,CARD000072,MERC00183,2026-03-21 09:55:19,50242.0,CLP,1,approved,purchase,low,services
TXN00002203,CUST00472,CARD000485,MERC00152,2026-03-24 15:08:46,754918.0,CLP,3,approved,purchase,low,supermarket
TXN00002209,CUST00302,CARD000303,MERC00109,2026-06-06 15:03:37,333406.0,CLP,3,approved,purchase,medium,home
TXN00002229,CUST00374,CARD000383,MERC00113,2026-04-30 19:02:02,22133.0,CLP,1,approved,purchase,medium,fashion
TXN00002255,CUST00424,CARD000434,MERC00032,2026-05-08 17:48:24,635519.0,CLP,1,approved,purchase,high,health
TXN00002308,CUST00483,CARD000496,MERC00156,2026-05-17 23:15:27,460457.0,CLP,1,approved,purchase,low,pharmacy
TXN00002325,CUST00057,CARD000060,MERC00049,2026-06-07 19:48:43,431007.0,CLP,1,approved,purchase,low,education
TXN00002351,CUST00310,CARD000314,MERC00106,2026-04-16 16:54:22,1682.0,CLP,3,approved,purchase,low,supermarket
TXN00002371,CUST00218,CARD000218,MERC00160,2026-05-01 18:29:51,97121.0,CLP,1,approved,purchase,high,education
TXN00002406,CUST00086,CARD000092,MERC00084,2026-05-15 16:58:32,79949.0,CLP,12,approved,purchase,low,marketplace
TXN00002422,CUST00480,CARD000492,MERC00089,2026-05-13 16:51:18,729325.0,CLP,1,approved,purchase,low,home
TXN00002459,CUST00007,CARD000007,MERC00159,2026-04-11 19:56:46,5540.0,CLP,1,approved,purchase,medium,fashion
TXN00002463,CUST00183,CARD000184,MERC00114,2026-04-12 13:59:41,36369.0,CLP,3,approved,purchase,unclassified,pharmacy
TXN00002504,CUST00309,CARD000313,MERC00112,2026-05-17 14:24:36,351004.0,CLP,12,approved,purchase,medium,education
TXN00002536,CUST00319,CARD000324,MERC00031,2026-04-04 15:28:05,77844.0,CLP,1,approved,purchase,low,pharmacy
TXN00002539,CUST00307,CARD000310,MERC00153,2026-03-24 09:19:27,579724.0,CLP,3,approved,purchase,low,fashion
TXN00002550,CUST00482,CARD000495,MERC00079,2026-04-01 13:27:32,689950.0,CLP,3,approved,purchase,low,electronics
TXN00002567,CUST00397,CARD000410,MERC00015,2026-04-18 22:04:35,796653.0,CLP,3,approved,purchase,medium,food_delivery
TXN00002642,CUST00247,CARD000248,MERC00151,2026-06-11 10:26:30,736535.0,CLP,1,approved,purchase,medium,travel
TXN00002650,CUST00288,CARD000288,MERC00195,2026-04-12 14:39:56,64061.0,CLP,6,approved,purchase,low,health
TXN00002699,CUST00479,CARD000491,MERC00017,2026-06-14 08:13:04,783226.0,CLP,3,approved,purchase,medium,marketplace
TXN00002704,CUST00475,CARD000487,MERC00131,2026-05-09 10:53:48,169709.0,CLP,3,approved,purchase,unclassified,food_delivery
TXN00002713,CUST00224,CARD000225,MERC00153,2026-05-03 15:38:37,644070.0,CLP,3,approved,purchase,medium,fashion
TXN00002730,CUST00274,CARD000273,MERC00042,2026-05-21 08:32:42,73128.0,CLP,1,approved,purchase,high,pharmacy
TXN00002740,CUST00406,CARD000417,MERC00078,2026-05-19 15:03:25,24879.0,CLP,1,approved,purchase,high,services
TXN00002808,CUST00033,CARD000034,MERC00178,2026-05-23 22:53:36,265243.0,CLP,1,approved,purchase,medium,fashion
TXN00002811,CUST00195,CARD000195,MERC00133,2026-05-01 15:28:55,20023.0,CLP,1,approved,purchase,medium,health
TXN00002823,CUST00093,CARD000099,MERC00171,2026-04-09 15:14:21,43501.0,CLP,1,approved,purchase,medium,education
TXN00002828,CUST00237,CARD000237,MERC00166,2026-04-28 20:20:34,720880.0,CLP,3,approved,purchase,medium,education
TXN00002830,CUST00406,CARD000417,MERC00190,2026-03-23 15:24:48,57535.0,CLP,3,approved,purchase,high,food_delivery
TXN00002838,CUST00219,CARD000219,MERC00153,2026-04-11 09:25:15,13819.0,CLP,1,approved,purchase,unclassified,fashion
TXN00002863,CUST00343,CARD000351,MERC00200,2026-06-06 09:28:10,36689.0,CLP,1,approved,purchase,medium,home
TXN00002890,CUST00348,CARD000357,MERC00029,2026-06-04 17:39:56,41091.0,CLP,1,approved,purchase,high,travel
TXN00002911,CUST00218,CARD000218,MERC00169,2026-05-24 17:46:18,87287.0,CLP,1,approved,purchase,high,services
TXN00002932,CUST00449,CARD000458,MERC00156,2026-06-13 13:53:28,251368.0,CLP,3,approved,purchase,low,pharmacy
TXN00002939,CUST00295,CARD000294,MERC00075,2026-04-11 08:44:40,13889.0,CLP,3,approved,purchase,low,electronics
TXN00002947,CUST00201,CARD000202,MERC00168,2026-03-25 21:42:38,16069.0,CLP,1,approved,purchase,medium,fashion
TXN00002973,CUST00472,CARD000484,MERC00130,2026-05-05 18:43:32,207845.0,CLP,3,approved,purchase,low,electronics
TXN00002987,CUST00147,CARD000149,MERC00079,2026-04-07 17:25:57,8754.0,CLP,1,approved,purchase,medium,electronics
TXN00003033,CUST00316,CARD000321,MERC00168,2026-05-11 19:11:43,8493.0,CLP,1,approved,purchase,high,fashion
TXN00003069,CUST00221,CARD000221,MERC00026,2026-05-23 08:19:20,9246.0,CLP,1,approved,purchase,low,health
TXN00003077,CUST00194,CARD000194,MERC00061,2026-04-18 20:30:05,654664.0,CLP,1,approved,purchase,medium,health
TXN00003090,CUST00471,CARD000483,MERC00089,2026-03-29 14:38:17,27964.0,CLP,6,approved,purchase,low,home
TXN00003148,CUST00220,CARD000220,MERC00034,2026-05-22 12:26:38,665513.0,CLP,1,approved,purchase,medium,home
TXN00003234,CUST00432,CARD000440,MERC00128,2026-05-13 14:39:03,10677.0,CLP,1,approved,purchase,medium,services
TXN00003292,CUST00203,CARD000204,MERC00065,2026-03-29 14:26:11,14062.0,CLP,1,approved,purchase,low,pharmacy
TXN00003381,CUST00327,CARD000332,MERC00009,2026-05-04 09:45:23,215727.0,CLP,3,approved,purchase,high,electronics
TXN00003490,CUST00163,CARD000166,MERC00034,2026-03-22 15:32:06,18527.0,CLP,6,approved,purchase,high,home
TXN00003498,CUST00407,CARD000418,MERC00037,2026-04-15 22:06:25,12529.0,CLP,1,approved,purchase,low,fashion
TXN00003505,CUST00218,CARD000218,MERC00012,2026-03-15 14:01:28,289044.0,CLP,1,approved,purchase,high,health
TXN00003523,CUST00183,CARD000184,MERC00126,2026-03-20 09:43:47,528995.0,CLP,1,approved,purchase,unclassified,home
TXN00003596,CUST00207,CARD000207,MERC00177,2026-03-16 19:09:54,312795.0,CLP,1,approved,purchase,low,health
TXN00003607,CUST00320,CARD000325,MERC00051,2026-04-19 10:15:32,587017.0,CLP,6,approved,purchase,low,supermarket
TXN00003681,CUST00090,CARD000095,MERC00173,2026-05-16 13:10:30,796017.0,CLP,1,approved,purchase,low,travel
TXN00003714,CUST00189,CARD000190,MERC00113,2026-05-17 19:05:38,78136.0,CLP,1,approved,purchase,low,fashion
TXN00003726,CUST00064,CARD000068,MERC00190,2026-03-24 22:21:12,489349.0,CLP,1,approved,purchase,medium,food_delivery
TXN00003746,CUST00083,CARD000088,MERC00171,2026-04-04 17:34:19,99879.0,CLP,2,approved,purchase,medium,education
TXN00003751,CUST00264,CARD000264,MERC00157,2026-06-04 14:16:25,243201.0,CLP,6,approved,purchase,low,education
TXN00003895,CUST00327,CARD000332,MERC00181,2026-05-09 20:52:09,108533.0,CLP,3,approved,purchase,high,supermarket
TXN00004002,CUST00424,CARD000434,MERC00025,2026-03-18 11:30:26,540800.0,CLP,2,approved,purchase,high,education
TXN00004014,CUST00348,CARD000357,MERC00051,2026-05-30 15:13:04,777059.0,CLP,3,approved,purchase,high,supermarket
TXN00004018,CUST00042,CARD000044,MERC00030,2026-05-23 16:02:46,7688.0,CLP,1,approved,purchase,medium,education
TXN00004057,CUST00123,CARD000125,MERC00180,2026-05-09 22:41:49,54183.0,CLP,1,approved,purchase,medium,education
TXN00004098,CUST00410,CARD000420,MERC00182,2026-06-12 09:02:49,59922.0,CLP,1,approved,purchase,high,pharmacy
TXN00004124,CUST00444,CARD000453,MERC00154,2026-04-23 08:16:15,134840.0,CLP,1,approved,purchase,medium,fashion
TXN00004142,CUST00334,CARD000341,MERC00105,2026-05-30 11:11:54,870719.0,CLP,1,approved,purchase,medium,electronics
TXN00004152,CUST00335,CARD000342,MERC00135,2026-04-04 15:10:09,401398.0,CLP,2,approved,purchase,medium,electronics
TXN00004170,CUST00484,CARD000497,MERC00072,2026-04-28 09:26:03,52817.0,CLP,1,approved,purchase,low,education
TXN00004254,CUST00359,CARD000367,MERC00184,2026-03-18 16:10:01,11125.0,CLP,1,approved,purchase,medium,health
TXN00004277,CUST00117,CARD000120,MERC00063,2026-05-30 17:15:37,574896.0,CLP,1,approved,purchase,medium,services
TXN00004291,CUST00288,CARD000288,MERC00129,2026-03-29 10:40:09,48374.0,CLP,1,approved,purchase,low,travel
TXN00004295,CUST00184,CARD000185,MERC00146,2026-05-03 11:15:06,107213.0,CLP,1,approved,purchase,medium,food_delivery
TXN00004304,CUST00054,CARD000055,MERC00030,2026-05-10 23:55:05,176202.0,CLP,1,approved,purchase,high,education
TXN00004317,CUST00234,CARD000234,MERC00163,2026-05-25 19:29:01,796364.0,CLP,1,approved,purchase,unclassified,travel
TXN00004374,CUST00235,CARD000235,MERC00104,2026-05-08 13:44:33,14732.0,CLP,6,approved,purchase,low,marketplace
TXN00004412,CUST00465,CARD000475,MERC00120,2026-05-15 08:42:55,49650.0,CLP,3,approved,purchase,high,marketplace
TXN00004431,CUST00443,CARD000452,MERC00127,2026-04-19 14:09:29,90724.0,CLP,1,approved,purchase,low,travel
TXN00004443,CUST00367,CARD000375,MERC00123,2026-03-24 18:13:19,377778.0,CLP,1,approved,purchase,medium,marketplace
TXN00004450,CUST00083,CARD000088,MERC00134,2026-04-03 21:03:05,141070.0,CLP,1,approved,purchase,medium,education
TXN00004462,CUST00094,CARD000100,MERC00017,2026-06-07 18:52:45,282243.0,CLP,6,approved,purchase,high,marketplace
TXN00004466,CUST00288,CARD000288,MERC00150,2026-03-31 17:44:05,118475.0,CLP,3,approved,purchase,low,electronics
TXN00004470,CUST00127,CARD000129,MERC00168,2026-03-16 15:31:08,284374.0,CLP,6,approved,purchase,medium,fashion
TXN00004500,CUST00345,CARD000353,MERC00070,2026-04-18 14:50:38,744492.0,CLP,3,approved,purchase,medium,pharmacy
TXN00004511,CUST00300,CARD000300,MERC00194,2026-06-07 14:25:56,425918.0,CLP,1,approved,purchase,low,education
TXN00004568,CUST00184,CARD000185,MERC00073,2026-05-08 12:34:49,36723.0,CLP,3,approved,purchase,medium,marketplace
TXN00004621,CUST00132,CARD000133,MERC00177,2026-05-16 08:17:28,571867.0,CLP,1,approved,purchase,medium,health
TXN00004646,CUST00143,CARD000145,MERC00005,2026-03-29 19:56:26,25213.0,CLP,12,approved,purchase,medium,fashion
TXN00004658,CUST00123,CARD000125,MERC00122,2026-04-05 11:10:58,120514.0,CLP,1,approved,purchase,medium,marketplace
TXN00004663,CUST00072,CARD000077,MERC00063,2026-04-17 11:34:58,48151.0,CLP,3,approved,purchase,low,services
TXN00004667,CUST00085,CARD000091,MERC00080,2026-05-25 23:36:28,686386.0,CLP,1,approved,purchase,medium,pharmacy
TXN00004680,CUST00313,CARD000317,MERC00023,2026-05-21 12:16:40,28527.0,CLP,6,approved,purchase,low,electronics
TXN00004727,CUST00116,CARD000119,MERC00035,2026-03-25 13:55:29,5540.0,CLP,1,approved,purchase,unclassified,home
TXN00004736,CUST00337,CARD000344,MERC00041,2026-04-26 22:43:25,464470.0,CLP,3,approved,purchase,low,home
TXN00004766,CUST00069,CARD000074,MERC00187,2026-04-10 16:05:04,12484.0,CLP,3,approved,purchase,medium,pharmacy
TXN00004782,CUST00444,CARD000453,MERC00124,2026-03-27 08:18:43,229397.0,CLP,1,approved,purchase,medium,services
TXN00004795,CUST00319,CARD000324,MERC00067,2026-05-19 20:27:33,19946.0,CLP,1,approved,purchase,low,marketplace
TXN00004827,CUST00378,CARD000388,MERC00018,2026-05-10 12:19:27,111338.0,CLP,3,approved,purchase,high,travel
TXN00004852,CUST00334,CARD000341,MERC00119,2026-03-20 20:31:43,252551.0,CLP,1,approved,purchase,medium,pharmacy
TXN00004853,CUST00493,CARD000509,MERC00151,2026-06-07 08:25:12,90308.0,CLP,1,approved,purchase,low,travel
TXN00004887,CUST00037,CARD000038,MERC00014,2026-05-09 22:13:59,173047.0,CLP,3,approved,purchase,medium,marketplace
TXN00004896,CUST00077,CARD000082,MERC00183,2026-06-13 12:30:31,27910.0,CLP,1,approved,purchase,low,services
TXN00004904,CUST00481,CARD000494,MERC00111,2026-04-30 13:14:30,393913.0,CLP,1,approved,purchase,high,supermarket
TXN00004919,CUST00413,CARD000422,MERC00022,2026-04-25 10:46:11,156253.0,CLP,1,approved,purchase,high,home
TXN00005002,CUST00221,CARD000221,MERC00107,2026-05-15 15:51:46,22687.0,CLP,1,approved,purchase,low,education
TXN00005010,CUST00247,CARD000249,MERC00177,2026-04-30 16:56:07,143191.0,CLP,3,approved,purchase,medium,health
TXN00005027,CUST00311,CARD000316,MERC00088,2026-06-01 13:21:35,395695.0,CLP,2,approved,purchase,low,pharmacy
TXN00005054,CUST00364,CARD000372,MERC00198,2026-04-21 15:32:01,100807.0,CLP,1,approved,purchase,medium,marketplace
TXN00005072,CUST00479,CARD000491,MERC00089,2026-04-14 13:12:10,1817.0,CLP,1,approved,purchase,medium,home
TXN00005076,CUST00355,CARD000363,MERC00035,2026-04-22 08:36:31,10568.0,CLP,1,approved,purchase,low,home
TXN00005100,CUST00382,CARD000393,MERC00179,2026-03-21 21:41:16,9494.0,CLP,3,approved,purchase,medium,pharmacy
TXN00005161,CUST00477,CARD000489,MERC00157,2026-06-01 15:40:24,362905.0,CLP,1,approved,purchase,medium,education
TXN00005183,CUST00105,CARD000110,MERC00061,2026-05-04 15:58:33,821092.0,CLP,1,approved,purchase,low,health
TXN00005228,CUST00005,CARD000005,MERC00180,2026-04-07 08:36:59,85718.0,CLP,2,approved,purchase,medium,education
TXN00005233,CUST00310,CARD000315,MERC00112,2026-04-30 12:59:09,71327.0,CLP,3,approved,purchase,low,education
TXN00005246,CUST00428,CARD000436,MERC00041,2026-04-22 20:52:48,29528.0,CLP,3,approved,purchase,medium,home
TXN00005279,CUST00372,CARD000381,MERC00143,2026-06-15 08:51:46,18326.0,CLP,3,approved,purchase,low,marketplace
TXN00005282,CUST00435,CARD000445,MERC00108,2026-05-05 08:20:03,51891.0,CLP,1,approved,purchase,high,services
TXN00005306,CUST00174,CARD000176,MERC00169,2026-05-09 22:08:52,78138.0,CLP,1,approved,purchase,low,services
TXN00005318,CUST00428,CARD000436,MERC00133,2026-05-10 11:33:46,727047.0,CLP,6,approved,purchase,medium,health
TXN00005344,CUST00381,CARD000392,MERC00063,2026-04-07 09:54:24,94329.0,CLP,1,approved,purchase,low,services
TXN00005371,CUST00218,CARD000217,MERC00151,2026-04-29 11:17:48,65523.0,CLP,1,approved,purchase,high,travel
TXN00005379,CUST00248,CARD000250,MERC00009,2026-04-19 15:12:31,749483.0,CLP,1,approved,purchase,medium,electronics
TXN00005428,CUST00153,CARD000155,MERC00047,2026-04-03 13:15:07,271304.0,CLP,3,approved,purchase,medium,supermarket
TXN00005431,CUST00264,CARD000264,MERC00197,2026-06-06 18:08:37,291261.0,CLP,1,approved,purchase,low,home
TXN00005481,CUST00155,CARD000157,MERC00161,2026-03-15 18:48:44,413156.0,CLP,1,approved,purchase,high,services
TXN00005493,CUST00320,CARD000326,MERC00151,2026-03-27 15:15:04,617672.0,CLP,2,approved,purchase,low,travel
TXN00005527,CUST00077,CARD000082,MERC00179,2026-06-13 22:05:17,873291.0,CLP,1,approved,purchase,low,pharmacy
TXN00005560,CUST00064,CARD000068,MERC00047,2026-04-09 11:36:06,65651.0,CLP,1,approved,purchase,medium,supermarket
TXN00005587,CUST00166,CARD000169,MERC00191,2026-05-15 13:35:30,18157.0,CLP,6,approved,purchase,medium,health
TXN00005605,CUST00348,CARD000357,MERC00022,2026-05-15 23:10:51,61643.0,CLP,1,approved,purchase,high,home
TXN00005622,CUST00323,CARD000329,MERC00083,2026-03-20 10:43:39,146933.0,CLP,3,approved,purchase,low,travel
TXN00005633,CUST00307,CARD000310,MERC00144,2026-06-07 11:03:03,13504.0,CLP,1,approved,purchase,low,electronics
TXN00005658,CUST00279,CARD000279,MERC00107,2026-03-18 15:48:55,26025.0,CLP,6,approved,purchase,high,education
TXN00005679,CUST00030,CARD000029,MERC00129,2026-04-25 09:27:31,164069.0,CLP,1,approved,purchase,low,travel
TXN00005690,CUST00023,CARD000022,MERC00108,2026-06-05 08:44:25,3505.0,CLP,6,approved,purchase,high,services
TXN00005691,CUST00105,CARD000110,MERC00123,2026-03-22 08:47:46,824889.0,CLP,1,approved,purchase,low,marketplace
TXN00005696,CUST00282,CARD000282,MERC00109,2026-03-20 12:07:18,119854.0,CLP,1,approved,purchase,low,home
TXN00005711,CUST00316,CARD000320,MERC00135,2026-04-03 09:29:36,71691.0,CLP,1,approved,purchase,high,electronics
TXN00005714,CUST00200,CARD000201,MERC00096,2026-06-13 23:23:33,857531.0,CLP,1,approved,purchase,low,home
TXN00005715,CUST00424,CARD000433,MERC00078,2026-05-12 18:06:07,608499.0,CLP,1,approved,purchase,high,services
